n, dr =  1000  ????
ind   r               v               rho             Er
0082  9.55380402E+10  5.00292044E+07  9.19849991E-11  1.47357185E+06
0083  9.59128948E+10  5.05758087E+07  9.02810140E-11  1.45126507E+06
0084  9.62892202E+10  5.11213293E+07  8.86208241E-11  1.42936083E+06
0085  9.66670221E+10  5.16657543E+07  8.70029156E-11  1.40784937E+06
0086  9.70463064E+10  5.22090719E+07  8.54258417E-11  1.38672125E+06
0087  9.74270789E+10  5.27512705E+07  8.38882190E-11  1.36596735E+06
0088  9.78093453E+10  5.32923386E+07  8.23887243E-11  1.34557884E+06
0089  9.81931117E+10  5.38322649E+07  8.09260910E-11  1.32554720E+06
0090  9.85783838E+10  5.43710383E+07  7.94991065E-11  1.30586416E+06
0091  9.89651675E+10  5.49086478E+07  7.81066092E-11  1.28652173E+06
0092  9.93534689E+10  5.54450825E+07  7.67474859E-11  1.26751218E+06
0093  9.97432937E+10  5.59803317E+07  7.54206694E-11  1.24882800E+06
0094  1.00134648E+11  5.65143849E+07  7.41251361E-11  1.23046194E+06
0095  1.00527538E+11  5.70472315E+07  7.28599040E-11  1.21240696E+06
0096  1.00921970E+11  5.75788613E+07  7.16240302E-11  1.19465622E+06
0097  1.01317949E+11  5.81092640E+07  7.04166095E-11  1.17720311E+06
0098  1.01715481E+11  5.86384295E+07  6.92367723E-11  1.16004122E+06
0099  1.02114574E+11  5.91663478E+07  6.80836828E-11  1.14316430E+06
0100  1.02515232E+11  5.96930090E+07  6.69565378E-11  1.12656631E+06
0101  1.02917463E+11  6.02184034E+07  6.58545646E-11  1.11024138E+06
0102  1.03321271E+11  6.07425213E+07  6.47770198E-11  1.09418380E+06
0103  1.03726664E+11  6.12653529E+07  6.37231883E-11  1.07838804E+06
0104  1.04133648E+11  6.17868890E+07  6.26923814E-11  1.06284871E+06
0105  1.04542228E+11  6.23071200E+07  6.16839358E-11  1.04756057E+06
0106  1.04952412E+11  6.28260366E+07  6.06972129E-11  1.03251854E+06
0107  1.05364205E+11  6.33436297E+07  5.97315969E-11  1.01771767E+06
0108  1.05777614E+11  6.38598900E+07  5.87864945E-11  1.00315315E+06
0109  1.06192645E+11  6.43748086E+07  5.78613334E-11  9.88820286E+05
0110  1.06609304E+11  6.48883765E+07  5.69555617E-11  9.74714533E+05
0111  1.07027598E+11  6.54005847E+07  5.60686468E-11  9.60831451E+05
0112  1.07447533E+11  6.59114245E+07  5.52000748E-11  9.47166719E+05
0113  1.07869116E+11  6.64208872E+07  5.43493495E-11  9.33716131E+05
0114  1.08292353E+11  6.69289642E+07  5.35159918E-11  9.20475590E+05
0115  1.08717250E+11  6.74356467E+07  5.26995387E-11  9.07441103E+05
