n, dr =  1000  ????
ind   r               v               rho             Er
0082  9.55380402E+10  5.32314254E+07  1.39527033E-10  1.96178194E+06
0083  9.59128948E+10  5.34926805E+07  1.37762417E-10  1.93344460E+06
0084  9.62892202E+10  5.37515302E+07  1.36029450E-10  1.90557626E+06
0085  9.66670221E+10  5.40080147E+07  1.34327279E-10  1.87816729E+06
0086  9.70463064E+10  5.42621735E+07  1.32655086E-10  1.85120831E+06
0087  9.74270789E+10  5.45140445E+07  1.31012081E-10  1.82469023E+06
0088  9.78093453E+10  5.47636651E+07  1.29397505E-10  1.79860417E+06
0089  9.81931117E+10  5.50110713E+07  1.27810627E-10  1.77294150E+06
0090  9.85783838E+10  5.52562983E+07  1.26250742E-10  1.74769382E+06
0091  9.89651675E+10  5.54993804E+07  1.24717170E-10  1.72285295E+06
0092  9.93534689E+10  5.57403509E+07  1.23209258E-10  1.69841092E+06
0093  9.97432937E+10  5.59792424E+07  1.21726374E-10  1.67435995E+06
0094  1.00134648E+11  5.62160865E+07  1.20267906E-10  1.65069247E+06
0095  1.00527538E+11  5.64509142E+07  1.18833268E-10  1.62740111E+06
0096  1.00921970E+11  5.66837554E+07  1.17421889E-10  1.60447866E+06
0097  1.01317949E+11  5.69146397E+07  1.16033220E-10  1.58191812E+06
0098  1.01715481E+11  5.71435957E+07  1.14666731E-10  1.55971262E+06
0099  1.02114574E+11  5.73706512E+07  1.13321907E-10  1.53785550E+06
0100  1.02515232E+11  5.75958338E+07  1.11998251E-10  1.51634022E+06
0101  1.02917463E+11  5.78191699E+07  1.10695284E-10  1.49516044E+06
0102  1.03321271E+11  5.80406857E+07  1.09412538E-10  1.47430994E+06
0103  1.03726664E+11  5.82604066E+07  1.08149565E-10  1.45378265E+06
0104  1.04133648E+11  5.84783574E+07  1.06905926E-10  1.43357264E+06
0105  1.04542228E+11  5.86945624E+07  1.05681200E-10  1.41367413E+06
0106  1.04952412E+11  5.89090454E+07  1.04474975E-10  1.39408148E+06
0107  1.05364205E+11  5.91218296E+07  1.03286856E-10  1.37478914E+06
0108  1.05777614E+11  5.93329377E+07  1.02116455E-10  1.35579173E+06
0109  1.06192645E+11  5.95423920E+07  1.00963399E-10  1.33708396E+06
0110  1.06609304E+11  5.97502141E+07  9.98273247E-11  1.31866068E+06
0111  1.07027598E+11  5.99564253E+07  9.87078802E-11  1.30051684E+06
0112  1.07447533E+11  6.01610464E+07  9.76047231E-11  1.28264752E+06
0113  1.07869116E+11  6.03640979E+07  9.65175210E-11  1.26504787E+06
0114  1.08292353E+11  6.05655997E+07  9.54459512E-11  1.24771319E+06
0115  1.08717250E+11  6.07655714E+07  9.43896999E-11  1.23063885E+06
0116  1.09143815E+11  6.09640320E+07  9.33484621E-11  1.21382034E+06
0117  1.09572054E+11  6.11610005E+07  9.23219412E-11  1.19725323E+06
0118  1.10001972E+11  6.13564951E+07  9.13098490E-11  1.18093319E+06
0119  1.10433578E+11  6.15505338E+07  9.03119048E-11  1.16485599E+06
0120  1.10866877E+11  6.17431344E+07  8.93278357E-11  1.14901748E+06
